Período analizado,Valor de conversión
,CLPUSD=X
2004-08-11,0.0015918243443593383
2004-08-12,0.0015918243443593383
2004-08-13,0.0016010502586141229
2004-08-16,0.0015918243443593383
2004-08-17,0.0015918243443593383
2004-08-18,0.0015766405267640948
2004-08-19,0.0015766405267640948
2004-08-20,0.0016246953746303916
2004-08-23,0.0015845098532736301
2004-08-24,0.0015942351892590523
2004-08-25,0.0015983122866600752
2004-08-26,0.0015910645015537739
2004-08-27,0.0015910645015537739
2004-08-30,0.0015910645015537739
2004-08-31,0.0015942351892590523
2004-09-01,0.0015942351892590523
2004-09-02,0.0015955070266500115
2004-09-03,0.0016478807665407658
2004-09-06,0.001609373022802174
2004-09-07,0.0016089845448732376
2004-09-08,0.001607949729077518
2004-09-09,0.0016180967213585973
2004-09-10,0.0016180967213585973
2004-09-13,0.0016180967213585973
2004-09-14,0.0016767551423981786
2004-09-15,0.0016759682912379503
2004-09-16,0.001679599517956376
2004-09-17,0.0016835300484672189
2004-09-20,0.0016889894613996148
2004-09-21,0.00167954305652529
2004-09-22,0.0016801640158519149
2004-09-23,0.0016719890991225839
2004-09-24,0.0016790919471532106
2004-09-27,0.001678838161751628
2004-09-28,0.0016953463200479746
2004-09-29,0.001705117174424231
2004-09-30,0.0017018381040543318
2004-10-01,0.0016878775786608458
2004-10-04,0.0017022434622049332
2004-10-05,0.0017167972400784492
2004-10-06,0.0017236920539289713
2004-10-07,0.0017143249278888106
2004-10-08,0.0017110103508457541
2004-10-11,0.0017317516030743718
2004-10-12,0.0017350568668916821
2004-10-13,0.001732531702145934
2004-10-14,0.001695518847554922
2004-10-15,0.001683700131252408
2004-10-18,0.0016918756300583482
2004-10-19,0.001637733425013721
2004-10-20,0.0016207455191761255
2004-10-21,0.001640016445890069
2004-10-22,0.0016469038091599941
2004-10-25,0.0016270745545625687
2004-10-26,0.0016333197709172964
2004-10-27,0.0016380016459152102
2004-10-29,0.001630656304769218
2004-11-01,0.0016359650762751698
2004-11-02,0.0016359650762751698
2004-11-03,0.0016359650762751698
2004-11-04,0.0016359650762751698
2004-11-05,0.001669449033215642
2004-11-08,0.0016542597441002727
2004-11-09,0.0016561775701120496
2004-11-10,0.001662510447204113
2004-11-11,0.0016628975281491876
2004-11-12,0.0016652512131258845
2004-11-15,0.0016785282641649246
2004-11-16,0.0016785282641649246
2004-11-17,0.0016785282641649246
2004-11-18,0.0016785282641649246
2004-11-19,0.0016939104534685612
2004-11-22,0.00167954305652529
2004-11-23,0.001693480066023767
2004-11-24,0.0016977929044514894
2004-11-25,0.0017465724376961589
2004-11-26,0.001702562440186739
2004-11-29,0.0016986579867079854
2004-11-30,0.0016970725264400244
2004-12-01,0.0017135024536401033
2004-12-02,0.0017094017239287496
2004-12-03,0.0017256255960091949
2004-12-06,0.0017204300966113806
2004-12-07,0.0017152659129351377
2004-12-08,0.0017145306337624788
2004-12-09,0.0016901884227991104
2004-12-10,0.0016884761862456799
2004-12-13,0.0017133555375039577
2004-12-14,0.0017160017741844058
2004-12-15,0.0017346054082736373
2004-12-16,0.0016949152341112494
2004-12-17,0.001743679167702794
2004-12-20,0.0017761989729478955
2004-12-21,0.0017608733614906669
2004-12-22,0.0017636683769524097
2004-12-23,0.0017769880359992385
2004-12-27,0.0017860331572592258
2004-12-28,0.0017849174328148365
2004-12-29,0.0017882689135149121
2004-12-30,0.0017937219236046076
2004-12-31,0.0018426725873723626
2005-01-03,0.0017774618463590741
2005-01-04,0.0017503938870504498
2005-01-05,0.001772892544977367
2005-01-06,0.0017559262923896313
2005-01-07,0.0017503938870504498
2005-01-10,0.0017639794386923313
2005-01-11,0.0017597888363525271
2005-01-12,0.0017667844658717513
2005-01-13,0.0017605633474886417
2005-01-14,0.0017459624214097857
2005-01-17,0.0017353579169139266
2005-01-18,0.0017193948151543736
2005-01-19,0.0017133555375039577
2005-01-20,0.0017094017239287496
2005-01-21,0.001733102253638208
2005-01-24,0.0017205780604854226
2005-01-25,0.0016992352902889252
2005-01-26,0.0017118890536949039
2005-01-27,0.0017072129994630814
2005-01-28,0.0017015483463183045
2005-01-31,0.0017182130832225084
2005-02-01,0.0017182130832225084
2005-02-02,0.001722652930766344
2005-02-03,0.0017358098411932588
2005-02-04,0.0017361111240461469
2005-02-07,0.0017346054082736373
2005-02-08,0.0017205780604854226
2005-02-09,0.0017308524111285806
2005-02-10,0.0017452007159590721
2005-02-11,0.0017467249417677522
2005-02-14,0.0018191409762948751
2005-02-15,0.0017621145816519856
2005-02-16,0.0017605633474886417
2005-02-17,0.0017628911882638931
2005-02-18,0.0017636683769524097
2005-02-21,0.0017636683769524097
2005-02-22,0.0017699114978313446
2005-02-23,0.0017627357738092542
2005-02-24,0.0017376195173710585
2005-02-25,0.001729505369439721
2005-02-28,0.0017429194413125515
2005-03-01,0.0017123287543654442
2005-03-02,0.0016992352902889252
2005-03-03,0.0016906170640140772
2005-03-04,0.0017752214334905148
2005-03-07,0.001781483180820942
2005-03-08,0.0017769563710317016
2005-03-09,0.0017683778423815966
2005-03-10,0.0017706322250887752
2005-03-11,0.0017765144584700465
2005-03-14,0.0017787263495847583
2005-03-15,0.0017609974602237344
2005-03-16,0.0017524490831419826
2005-03-17,0.0017050298629328609
2005-03-18,0.0017079418757930398
2005-03-21,0.0017056114738807082
2005-03-22,0.001703577465377748
2005-03-23,0.0016975047765299678
2005-03-24,0.0016999575309455395
2005-03-25,0.0016977929044514894
2005-03-28,0.0017021276289597154
2005-03-29,0.001703577465377748
2005-03-30,0.001703577465377748
