Período analizado,Valor de conversión
,UYUUSD=X
2004-08-11,0.03478987142443657
2004-08-12,0.03494304418563843
2004-08-13,0.035075411200523376
2004-08-16,0.035195156931877136
2004-08-17,0.03517039865255356
2004-08-18,0.0356900691986084
2004-08-19,0.035686247050762177
2004-08-20,0.03549623489379883
2004-08-23,0.035360679030418396
2004-08-24,0.03518153727054596
2004-08-25,0.034966256469488144
2004-08-26,0.03494182229042053
2004-08-27,0.03488331660628319
2004-08-30,0.035374440252780914
2004-08-31,0.036994561553001404
2004-09-01,0.035227395594120026
2004-09-02,0.03554417937994003
2004-09-03,0.03573981299996376
2004-09-06,0.03586028888821602
2004-09-07,0.03596346080303192
2004-09-08,0.03563156723976135
2004-09-09,0.03560619801282883
2004-09-10,0.03594536334276199
2004-09-13,0.03590664267539978
2004-09-14,0.03612455725669861
2004-09-15,0.03632929176092148
2004-09-16,0.03659920394420624
2004-09-17,0.03658982738852501
2004-09-20,0.03628183528780937
2004-09-21,0.03630686551332474
2004-09-22,0.036666300147771835
2004-09-23,0.036787696182727814
2004-09-24,0.036930348724126816
2004-09-27,0.036802589893341064
2004-09-28,0.03679446503520012
2004-09-29,0.03681885078549385
2004-09-30,0.036911267787218094
2004-10-01,0.03708098456263542
2004-10-04,0.03716643154621124
2004-10-05,0.037332937121391296
2004-10-06,0.03734269365668297
2004-10-07,0.0373859740793705
2004-10-08,0.037622272968292236
2004-10-11,0.03805319964885712
2004-10-12,0.03812428563833237
2004-10-13,0.03799247741699219
2004-10-14,0.03805464506149292
2004-10-15,0.03769175708293915
2004-10-18,0.037184398621320724
2004-10-19,0.03625290095806122
2004-10-20,0.03665689006447792
2004-10-21,0.03697677701711655
2004-10-22,0.037383176386356354
2004-10-25,0.03744897618889809
2004-10-26,0.03718854859471321
2004-10-27,0.037198230624198914
2004-10-28,0.037195462733507156
2004-10-29,0.03775579482316971
2004-11-01,0.03767329454421997
2004-11-02,0.037543173879384995
2004-11-03,0.037561509758234024
2004-11-04,0.03722453862428665
2004-11-05,0.037370603531599045
2004-11-08,0.037581268697977066
2004-11-09,0.03768181428313255
2004-11-10,0.03790175914764404
2004-11-11,0.03795210272073746
2004-11-12,0.03809959441423416
2004-11-15,0.03830830380320549
2004-11-16,0.039041150361299515
2004-11-17,0.0387611910700798
2004-11-18,0.03874167054891586
2004-11-19,0.03875968977808952
2004-11-22,0.038954462856054306
2004-11-23,0.03876570239663124
2004-11-24,0.03839508444070816
2004-11-25,0.03751078248023987
2004-11-26,0.03786444664001465
2004-11-29,0.03809814155101776
2004-11-30,0.03793339058756828
2004-12-01,0.03794202208518982
2004-12-02,0.03801558539271355
2004-12-03,0.03802714869379997
2004-12-06,0.03801558539271355
2004-12-07,0.038067687302827835
2004-12-08,0.03807928040623665
2004-12-09,0.03808072954416275
2004-12-10,0.03804740682244301
2004-12-13,0.037996806204319
2004-12-14,0.038105398416519165
2004-12-15,0.03830096870660782
2004-12-16,0.038176681846380234
2004-12-17,0.03788883611559868
2004-12-20,0.038140278309583664
2004-12-21,0.038119927048683167
2004-12-22,0.038223374634981155
2004-12-23,0.038218993693590164
2004-12-24,0.037742968648672104
2004-12-27,0.03828044235706329
2004-12-28,0.03851338475942612
2004-12-29,0.038586199283599854
2004-12-30,0.03883947804570198
2004-12-31,0.03889990970492363
2005-01-03,0.03843936324119568
2005-01-04,0.03892110660672188
2005-01-05,0.03936232998967171
2005-01-06,0.0398978628218174
2005-01-07,0.03943995386362076
2005-01-10,0.04163544252514839
2005-01-11,0.041387300938367844
2005-01-12,0.04072656109929085
2005-01-13,0.041272856295108795
2005-01-14,0.041296716779470444
2005-01-17,0.03974246606230736
2005-01-18,0.03981367126107216
2005-01-19,0.0402446873486042
2005-01-20,0.04116073250770569
2005-01-21,0.04110996797680855
2005-01-24,0.04154376685619354
2005-01-25,0.04122181236743927
2005-01-26,0.04081965982913971
2005-01-27,0.04149721935391426
2005-01-28,0.041832249611616135
2005-01-31,0.0416562519967556
2005-02-01,0.0423692911863327
2005-02-02,0.042920298874378204
2005-02-03,0.04261666163802147
2005-02-04,0.04294610396027565
2005-02-07,0.04305334389209747
2005-02-08,0.04307374358177185
2005-02-09,0.043034814298152924
2005-02-10,0.0425785556435585
2005-02-11,0.042149629443883896
2005-02-14,0.04219409078359604
2005-02-15,0.04221368581056595
2005-02-16,0.04228687286376953
2005-02-17,0.042446624487638474
2005-02-18,0.04256406053900719
2005-02-21,0.04156794399023056
2005-02-22,0.0409550741314888
2005-02-23,0.0406239852309227
2005-02-24,0.04100041091442108
2005-02-25,0.04118107259273529
2005-02-28,0.041235413402318954
2005-03-01,0.04101218283176422
2005-03-02,0.04104248061776161
2005-03-03,0.04081133008003235
2005-03-04,0.04108969867229462
2005-03-07,0.0406239852309227
2005-03-08,0.04041220247745514
2005-03-09,0.04052356258034706
2005-03-10,0.040739838033914566
2005-03-11,0.04091150686144829
2005-03-14,0.040946684777736664
2005-03-15,0.040965139865875244
2005-03-16,0.041003771126270294
2005-03-17,0.039354585111141205
2005-03-18,0.03937007859349251
2005-03-21,0.03937007859349251
2005-03-22,0.04104416444897652
2005-03-23,0.03952569141983986
2005-03-24,0.03952569141983986
2005-03-25,0.03952569141983986
2005-03-28,0.03944773226976395
2005-03-29,0.03921568766236305
2005-03-30,0.03921568766236305
2005-03-31,0.03921568766236305
2005-04-01,0.03929273039102554
2005-04-04,0.03943217545747757
2005-04-05,0.03944773226976395
2005-04-06,0.03944773226976395
2005-04-07,0.03944773226976395
2005-04-08,0.03944773226976395
