Período analizado,Valor de conversión
,BOBUSD=X
2004-08-11,0.12952697277069092
2004-08-12,0.12963610887527466
2004-08-13,0.1296798288822174
2004-08-16,0.129644513130188
2004-08-17,0.1293042153120041
2004-08-18,0.12937112152576447
2004-08-19,0.12934938073158264
2004-08-20,0.12935607135295868
2004-08-23,0.12916558980941772
2004-08-24,0.1292073130607605
2004-08-25,0.1293259561061859
2004-08-26,0.1292407065629959
2004-08-27,0.12924405932426453
2004-08-30,0.1292874962091446
2004-08-31,0.1290072798728943
2004-09-01,0.12885434925556183
2004-09-02,0.12886929512023926
2004-09-03,0.1290505826473236
2004-09-06,0.12904390692710876
2004-09-07,0.12914223968982697
2004-09-08,0.1290905624628067
2004-09-09,0.12885601818561554
2004-09-10,0.12892413139343262
2004-09-13,0.12877967953681946
2004-09-14,0.12886597216129303
2004-09-15,0.12889088690280914
2004-09-16,0.12891913950443268
2004-09-17,0.12858262658119202
2004-09-20,0.1289324313402176
2004-09-21,0.12876974046230316
2004-09-22,0.12886929512023926
2004-09-23,0.12880456447601318
2004-09-24,0.12883277237415314
2004-09-27,0.128698468208313
2004-09-28,0.1286686658859253
2004-09-29,0.1287515014410019
2004-09-30,0.12883277237415314
2004-10-01,0.12870179116725922
2004-10-04,0.1285347044467926
2004-10-05,0.12868356704711914
2004-10-06,0.1287117302417755
2004-10-07,0.1286206692457199
2004-10-08,0.1286206692457199
2004-10-11,0.1283598244190216
2004-10-12,0.12861239910125732
2004-10-13,0.12841586768627167
2004-10-14,0.12824459373950958
2004-10-15,0.12823143601417542
2004-10-18,0.1281624138355255
2004-10-19,0.12820018827915192
2004-10-20,0.12821006774902344
2004-10-21,0.1281394213438034
2004-10-22,0.128109872341156
2004-10-25,0.1280524581670761
2004-10-26,0.1280868947505951
2004-10-27,0.12817062437534332
2004-10-28,0.12486732751131058
2004-10-29,0.12816405296325684
2004-11-01,0.1281246393918991
2004-11-02,0.12816733121871948
2004-11-03,0.12823471426963806
2004-11-04,0.1282528042793274
2004-11-05,0.128037691116333
2004-11-08,0.1471908688545227
2004-11-09,0.12828408181667328
2004-11-10,0.12798525393009186
2004-11-11,0.12792468070983887
2004-11-12,0.1279279589653015
2004-11-15,0.12789195775985718
2004-11-16,0.12810330092906952
2004-11-17,0.12785598635673523
2004-11-18,0.127790629863739
2004-11-19,0.12785108387470245
2004-11-22,0.12799672782421112
2004-11-23,0.12786579132080078
2004-11-24,0.127790629863739
2004-11-25,0.1277155578136444
2004-11-26,0.12770576775074005
2004-11-29,0.1277155578136444
2004-11-30,0.1276421844959259
2004-12-01,0.12766990065574646
2004-12-02,0.12772206962108612
2004-12-03,0.12771882116794586
2004-12-06,0.12771229445934296
2004-12-07,0.12763893604278564
2004-12-08,0.12769924104213715
2004-12-09,0.1277025043964386
2004-12-10,0.12789031863212585
2004-12-13,0.12771718204021454
2004-12-14,0.12763893604278564
2004-12-15,0.1282380074262619
2004-12-16,0.12781840562820435
2004-12-17,0.1275022327899933
2004-12-20,0.12745510041713715
2004-12-21,0.12743236124515533
2004-12-22,0.12773512303829193
2004-12-23,0.12746647000312805
2004-12-24,0.12436263263225555
2004-12-27,0.12741613388061523
2004-12-28,0.1274518519639969
2004-12-29,0.1274924874305725
2004-12-30,0.12734311819076538
2004-12-31,0.12753963470458984
2005-01-03,0.12751197814941406
2005-01-04,0.1273869127035141
2005-01-05,0.12753801047801971
2005-01-06,0.12744860351085663
2005-01-07,0.12600964307785034
2005-01-10,0.12921065092086792
2005-01-11,0.1292407065629959
2005-01-12,0.12928415834903717
2005-01-13,0.1292089819908142
2005-01-14,0.12927913665771484
2005-01-17,0.12904225289821625
2005-01-18,0.12901727855205536
2005-01-19,0.1290639042854309
2005-01-20,0.12907390296459198
2005-01-21,0.12891913950443268
2005-01-24,0.12894241511821747
2005-01-25,0.129008948802948
2005-01-26,0.12906889617443085
2005-01-27,0.1290106177330017
2005-01-28,0.12902559340000153
2005-01-31,0.1290222704410553
2005-02-01,0.12904225289821625
2005-02-02,0.1290605664253235
2005-02-03,0.1289723515510559
2005-02-04,0.129130557179451
2005-02-07,0.12916725873947144
2005-02-08,0.1292223483324051
2005-02-09,0.12910722196102142
2005-02-10,0.12911556661128998
2005-02-11,0.12917560338974
2005-02-14,0.1290505826473236
2005-02-15,0.12910722196102142
2005-02-16,0.12911389768123627
2005-02-17,0.12905889749526978
2005-02-18,0.1294146627187729
2005-02-21,0.12904225289821625
2005-02-22,0.12896902859210968
2005-02-23,0.12897400557994843
2005-02-24,0.1285611391067505
2005-02-25,0.1285908967256546
2005-02-28,0.12876641750335693
2005-03-01,0.1286504566669464
2005-03-02,0.12873491644859314
2005-03-03,0.12879793345928192
2005-03-04,0.12994268536567688
2005-03-07,0.12873658537864685
2005-03-08,0.1286388635635376
